pi_id,score,win,win_2014,hirsh,scopus,rints,inst_cap,member,domain,delisted,sex,region,degree,proj_id,pr_rank,org_prestige
525cc1bc8b1bde61b9dbb46d660a87791d1611f87523ce8fcada1567f6cd116b,23.33,No,Yes,0,Yes,No,No,no,Culture,Yes,Female,Алматы,Doctor,1247,best,Other
525cc1bc8b1bde61b9dbb46d660a87791d1611f87523ce8fcada1567f6cd116b,23,No,Yes,0,Yes,No,No,no,Culture,Yes,Female,Алматы,Doctor,1278,second,Other
2d6780fc56e7376262f2f41794ca0a1009dc8d9726d993884258a2d3b4b5b6fb,29,No,No,1,Yes,No,Works with,no,Culture,Yes,Female,Астана,Candidate,734,best,National
2d6780fc56e7376262f2f41794ca0a1009dc8d9726d993884258a2d3b4b5b6fb,25,No,No,1,Yes,No,No,no,Security,Yes,Female,Астана,Candidate,2471,second,National
bafad40a30c012f60d384a5d8038f1331937af2c897175e460cd4ee5d625a081,26.67,Yes,No,0,No,No,No,no,Natural_rm,No,Male,Алматы,PhD,2895,best,Regional
bafad40a30c012f60d384a5d8038f1331937af2c897175e460cd4ee5d625a081,18,No,No,0,No,No,No,no,Natural_rm,No,Male,Астана,PhD,3506,second,Regional
be173e1614d68f2e65edf961761f098e49354c7be29e493e034b26a54d773cf0,24,No,No,0,Yes,No,Works with,no,Culture,Yes,Female,Алматы,Candidate,1189,tie,National
be173e1614d68f2e65edf961761f098e49354c7be29e493e034b26a54d773cf0,24,No,No,0,Yes,No,Works with,no,Culture,Yes,Female,Алматы,Candidate,1191,tie,National
d4e9c5623884eeb6b4c144bf7222cd5132b554628b761f333310afb353fe770f,30.33,No,No,6,Yes,No,No,no,Life,No,Male,Алматы,Candidate,1914,best,Other
d4e9c5623884eeb6b4c144bf7222cd5132b554628b761f333310afb353fe770f,24,No,No,6,Yes,No,No,no,Life,No,Male,Алматы,Doctor,2159,second,Other
9e809000fdfc4804230ac6e53b866d7cbbb441e22bb30685e9e0b675534b60ac,28,Yes,No,0,No,No,No,no,Natural_rm,No,Female,Шымкент,Candidate,2770,best,Regional
9e809000fdfc4804230ac6e53b866d7cbbb441e22bb30685e9e0b675534b60ac,27.67,No,No,0,No,No,No,no,Natural_rm,No,Female,Шымкент,Candidate,2803,second,Regional
ab31ec38b65581b7ae415d7c642553915b45eb0e3736ba280936bbe60033564e,27.33,No,Yes,0,Yes,No,Works with,no,Culture,No,Female,Алматы,Doctor,857,best,National
ab31ec38b65581b7ae415d7c642553915b45eb0e3736ba280936bbe60033564e,26.33,No,Yes,0,Yes,No,Works with,no,Culture,No,Female,Алматы,Doctor,948,second,National
fbd86df85e9852370aa633b401ff37563914fc0d181809398809bee7ff6d0579,20.67,No,No,2,Yes,No,Works with,no,Agriculture,No,Female,Алматы,PhD,4041,best,Other
fbd86df85e9852370aa633b401ff37563914fc0d181809398809bee7ff6d0579,18.33,No,No,0,No,No,Works with,no,Agriculture,No,Female,Алматы,PhD,4099,second,Other
56f98786ffb47985d4f9586acee3d27cebcbeb0287a3294e99b8c7f89a4c435c,26.33,No,No,2,Yes,No,Works with,no,Science,No,Male,Алматы,Doctor,232,best,Other
56f98786ffb47985d4f9586acee3d27cebcbeb0287a3294e99b8c7f89a4c435c,21,No,No,2,Yes,No,No,no,Science,No,Male,Алматы,Doctor,446,second,Regional
1163e090f30492f4e22279a33acfbac5f9888a8bf9a62708909e5f90dd842a22,20,No,No,0,Yes,No,No,no,Life,No,Female,Астана,Candidate,2298,second,National
1163e090f30492f4e22279a33acfbac5f9888a8bf9a62708909e5f90dd842a22,24,No,No,0,No,No,Works with,no,Natural_rm,No,Female,Астана,Candidate,3154,best,National
58476de28fd2432f859bea53cb55e68290675b0d3c1e90d09f45644a4e181d1f,33.33,No,No,4,Yes,No,Works with,no,Life,No,Female,Астана,Doctor,1870,best,Other
58476de28fd2432f859bea53cb55e68290675b0d3c1e90d09f45644a4e181d1f,30.33,No,No,4,Yes,No,Works with,no,Life,No,Female,Астана,Doctor,1911,second,Other
3de3f495c86a35fc17e711ca60219a4453f24597cb97bd9a51a79b3eccac1175,32.67,Yes,Yes,4,Yes,No,Works with,no,Life,No,Female,Астана,Doctor,1876,best,Other
3de3f495c86a35fc17e711ca60219a4453f24597cb97bd9a51a79b3eccac1175,28.67,Yes,No,4,Yes,No,Works with,no,Life,No,Female,Астана,Doctor,1968,second,Other
00cb0d4c16267b5e5fc93e759373075b418bed7973ef7059da34bf1457ec9058,24.67,Yes,No,0,Yes,No,No,no,Culture,Yes,Female,Алматы,Candidate,1085,best,Regional
00cb0d4c16267b5e5fc93e759373075b418bed7973ef7059da34bf1457ec9058,21.67,No,No,0,Yes,No,No,no,Culture,Yes,Female,Алматы,Candidate,1384,second,Regional
ea260cae60210d49aad5606b53136c41fc29379f7ed9d76a04d7248c5d0760e9,29.67,No,No,1,Yes,No,No,no,Culture,Yes,Male,Астана,Doctor,687,best,Regional
ea260cae60210d49aad5606b53136c41fc29379f7ed9d76a04d7248c5d0760e9,28.67,No,No,1,Yes,No,No,no,Culture,Yes,Male,Астана,Doctor,755,second,Regional
f32b4c24747dd5f4bf344566104cbfbe3959649ffe8aa9feb8c0225a64769c67,26.33,No,No,0,No,No,No,no,Culture,No,Male,Алматы,Candidate,946,second,Other
f32b4c24747dd5f4bf344566104cbfbe3959649ffe8aa9feb8c0225a64769c67,29,Yes,No,0,No,No,No,no,Agriculture,No,Male,Астана,Candidate,3635,best,Regional
938975120adb5f64bc095cc52f617c916340a9d58a9ac7726a919ce94aefcc7e,27,Yes,No,1,Yes,Yes,No,no,Science,Yes,Female,Астана,Doctor,212,best,Other
938975120adb5f64bc095cc52f617c916340a9d58a9ac7726a919ce94aefcc7e,24,No,No,1,Yes,Yes,No,no,Natural_rm,Yes,Female,Астана,Doctor,3155,second,Other
2c1719e110755e3a36a86f9a12548a681b4ad2acab0c34bf9060eb2cd7ce63a1,24.33,No,Yes,0,Yes,No,No,no,Culture,No,Male,Алматы,Candidate,1154,best,Other
2c1719e110755e3a36a86f9a12548a681b4ad2acab0c34bf9060eb2cd7ce63a1,20.33,No,No,0,Yes,No,No,no,Culture,No,Male,Алматы,Candidate,1506,second,Other
0a5725694996209cffe1e6dbd45b3f8a74e72064303d1b44f907a246e1c06efe,28.67,Yes,No,0,No,No,No,no,Culture,No,Male,Алматы,Candidate,749,best,Other
0a5725694996209cffe1e6dbd45b3f8a74e72064303d1b44f907a246e1c06efe,27.67,No,No,0,No,No,No,no,Culture,No,Male,Алматы,Candidate,842,second,Other
6975fdb4949e86a5b13b701e3673e306f3acf20c082e8c13ff5a401f1cca7899,23,No,No,2,Yes,Yes,No,no,Natural_rm,Yes,Male,Шымкент,Candidate,3236,second,Regional
6975fdb4949e86a5b13b701e3673e306f3acf20c082e8c13ff5a401f1cca7899,28,No,No,2,Yes,No,No,no,Agriculture,Yes,Male,Шымкент,Candidate,3673,best,Regional
33f4f6ea7dd97e8e294d8689baa7a264e9074421a68c2ef2d1d25327bd75f61a,19,No,No,1,Yes,No,No,no,Science,No,Male,Алматы,Candidate,504,second,Other
33f4f6ea7dd97e8e294d8689baa7a264e9074421a68c2ef2d1d25327bd75f61a,21.33,No,No,1,Yes,No,No,no,Natural_rm,No,Male,Алматы,Candidate,3337,best,Other
ca1c26841b5cb5cc4b22d7cbeeb388368bada7d49e53c44acd7e71862d45bf0c,29.33,No,No,3,Yes,No,Works with,no,Natural_rm,No,Female,Алматы,Candidate,2680,best,National
